 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          10               0.021784528      490              490              9.8498914e-09   
 1          2          0.78543304       1          1          1          2          9.9999997        0.039691117      490              490              9.9571112e-09   
 1          3          1.2078428        1          1          1          2          9.9999983        0.054954287      490              490              9.7177216e-09   
 1          4          1.651373         1          1          1          2          9.9999935        0.068354483      490.00001        490.00001        8.3362373e-09   
 1          5          2.1170797        1          1          1          2          9.99998          0.080409235      490.00002        490.00002        7.2156209e-09   
 1          6          2.6060717        1          1          1          2          9.999947         0.091475046      490.00005        490.00005        5.9737038e-08   
 1          7          3.1195134        1          1          1          2          9.9998754        0.10180529       490.00012        490.00012        5.3048202e-08   
 1          8          3.6586271        1          1          1          2          9.9997329        0.11158446       490.00027        490.00027        4.8125232e-08   
 1          9          4.2246966        1          1          1          2          9.9994701        0.12095001       490.00053        490.00053        4.4275171e-08   
 1          10         4.8190695        1          1          1          2          9.9990144        0.13000612       490.00099        490.00099        4.113332e-08    
 1          11         5.443161         1          1          1          2          9.9982652        0.13883305       490.00173        490.00173        2.7601096e-08   
 1          12         6.0984571        1          1          1          2          9.9970884        0.14749354       490.00291        490.00291        5.2858727e-08   
 1          13         6.7865181        1          1          1          2          9.9953128        0.15603732       490.00469        490.00469        5.4703213e-08   
 1          14         7.508982         1          1          1          2          9.9927267        0.16450442       490.00727        490.00727        4.40075e-08     
 1          15         8.2675692        1          1          1          2          9.9890771        0.17292749       490.01092        490.01092        2.6818698e-08   
 1          16         9.0640857        1          1          1          2          9.9840697        0.18133356       490.01593        490.01593        6.5618689e-09   
 1          17         9.9004281        1          1          1          2          9.9773717        0.18974538       490.02263        490.02263        1.4813735e-08   
 1          18         10.778588        1          1          1          2          9.9686155        0.19818236       490.03138        490.03138        3.6202669e-08   
 1          19         11.700655        1          1          1          2          9.9574044        0.20666134       490.0426         490.0426         5.698954e-08    
 1          20         12.668826        1          1          1          2          9.9433198        0.21519715       490.05668        490.05668        7.684839e-08    
 1          21         13.685405        1          1          1          2          9.9259289        0.22380305       490.07407        490.07407        9.5624057e-08   
 1          22         14.752814        1          1          1          2          9.9047929        0.23249105       490.09521        490.09521        1.1325817e-07   
 1          23         15.873592        1          1          1          2          9.8794756        0.24127214       490.12052        490.12052        1.2975183e-07   
 1          24         17.05041         1          1          1          2          9.849552         0.25015656       490.15045        490.15045        1.4513582e-07   
 1          25         18.286069        1          1          1          2          9.8146153        0.25915387       490.18538        490.18538        1.5945929e-07   
 1          26         19.58351         1          1          1          2          9.7742847        0.26827312       490.22572        490.22572        1.727763e-07    
 1          27         20.945824        1          1          1          2          9.7282109        0.27752295       490.27179        490.27179        1.8514473e-07   
 1          28         22.376253        1          1          1          2          9.6760808        0.28691161       490.32392        490.32392        1.9662214e-07   
 1          29         23.878204        1          1          1          2          9.6176221        0.29644705       490.38238        490.38238        2.0726609e-07   
 1          30         25.455252        1          1          1          2          9.5526048        0.30613695       490.4474         490.4474         2.1713219e-07   
 1          31         27.111152        1          1          1          2          9.4808438        0.31598872       490.51916        490.51916        2.2627649e-07   
 1          32         28.849848        1          1          1          2          9.4021987        0.3260095        490.5978         490.5978         2.3475692e-07   
 1          33         30.675479        1          1          1          2          9.3165735        0.33620618       490.68343        490.68343        2.426314e-07    
 1          34         32.592391        1          1          1          2          9.2239159        0.34658533       490.77608        490.77608        2.49959e-07     
 1          35         34.605148        1          1          1          2          9.1242149        0.35715318       490.87579        490.87579        2.5680165e-07   
 1          36         36.718544        1          1          1          2          9.0174988        0.36791557       490.9825         490.9825         2.6322307e-07   
 1          37         38.937609        1          1          1          2          8.9038324        0.37887784       491.09617        491.09617        2.6928788e-07   
 1          38         41.267627        1          1          1          2          8.7833143        0.39004481       491.21669        491.21669        2.7505958e-07   
 1          39         43.714147        1          1          1          2          8.6560735        0.40142063       491.34393        491.34393        2.8060159e-07   
 1          40         46.282992        1          1          1          2          8.5222666        0.41300869       491.47773        491.47773        2.8597357e-07   
 1          41         48.98028         1          1          1          2          8.3820747        0.42481151       491.61793        491.61793        2.9123258e-07   
 1          42         51.812432        1          1          1          2          8.2357004        0.43683066       491.7643         491.7643         2.9642888e-07   
 1          43         54.786192        1          1          1          2          8.0833654        0.44906657       491.91663        491.91663        3.0160608e-07   
 1          44         57.908639        1          1          1          2          7.9253077        0.46151848       492.07469        492.07469        3.0679861e-07   
 1          45         61.187209        1          1          1          2          7.7617798        0.4741843        492.23822        492.23822        3.1203352e-07   
 1          46         64.629708        1          1          1          2          7.5930467        0.4870605        492.40695        492.40695        3.1732586e-07   
 1          47         68.244331        1          1          1          2          7.4193844        0.50014206       492.58062        492.58062        3.2268229e-07   
