 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          1          0.38313807       1          1          1          2          1          0.51653356       8.1894047        0.43958398       0.00089782629    1.0459665e-05    0.010459665     
 1          1          0.38313807       1          1          1          2          2          0.52531046       9.8143449        0.44894742       0.00098920931    1.030827e-05     0.01030827      
 1          1          0.38313807       1          1          1          2          3          0.52620854       9.9801793        0.4498879        0.00099884565    1.0283061e-05    0.010283061     
 1          1          0.38313807       1          1          1          2          4          0.5263043        9.9978738        0.44998799       0.00099987627    1.027045e-05     0.01027045      
 1          1          0.38313807       1          1          1          2          5          0.52631456       9.9997716        0.44999871       0.00099998672    1.0259199e-05    0.010259199     
 1          1          0.38313807       1          1          1          2          6          0.52631566       9.9999754        0.44999986       0.00099999857    1.0248115e-05    0.010248115     
 1          1          0.38313807       1          1          1          2          7          0.52631578       9.9999974        0.44999999       0.00099999985    1.023707e-05     0.01023707      
 1          1          0.38313807       1          1          1          2          8          0.52631579       9.9999997        0.45             0.00099999998    1.022605e-05     0.01022605      
 1          1          0.38313807       1          1          1          2          9          0.52631579       10               0.45             0.001            1.0215054e-05    0.010215054     
 1          1          0.38313807       1          1          1          2          10         0.52631579       10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          11         0.52631579       10               0.45             0.001            1.0193133e-05    0.010193133     
 1          1          0.38313807       1          1          1          2          12         0.52631579       9.9999997        0.45             0.00099999998    1.0182208e-05    0.010182208     
 1          1          0.38313807       1          1          1          2          13         0.52631577       9.9999972        0.44999998       0.00099999984    1.0171307e-05    0.010171307     
 1          1          0.38313807       1          1          1          2          14         0.52631565       9.9999738        0.44999985       0.00099999849    1.016043e-05     0.01016043      
 1          1          0.38313807       1          1          1          2          15         0.52631449       9.9997576        0.44999865       0.00099998606    1.0149593e-05    0.010149593     
 1          1          0.38313807       1          1          1          2          16         0.52630385       9.9977625        0.44998752       0.00099987145    1.0138925e-05    0.010138925     
 1          1          0.38313807       1          1          1          2          17         0.52620575       9.9793559        0.44988499       0.00099881565    1.0129628e-05    0.010129628     
 1          1          0.38313807       1          1          1          2          18         0.52529886       9.8089465        0.44893525       0.00098908517    1.0132828e-05    0.010132828     
 1          1          0.38313807       1          1          1          2          19         0.51657931       8.162766         0.4396336        0.00089828948    1.0258896e-05    0.010258896     
 1          2          0.78543304       1          1          1          2          1          0.50941309       6.8678834        0.43175059       0.000827387      1.0577054e-05    0.010577054     
 1          2          0.78543304       1          1          1          2          2          0.52376087       9.5280125        0.44731709       0.00097270744    1.0332657e-05    0.010332657     
 1          2          0.78543304       1          1          1          2          3          0.52594842       9.9321021        0.44961583       0.00099604908    1.0287126e-05    0.010287126     
 1          2          0.78543304       1          1          1          2          4          0.52626571       9.9907356        0.44994766       0.00099946092    1.0271052e-05    0.010271052     
 1          2          0.78543304       1          1          1          2          5          0.52630922       9.998783         0.44999313       0.00099992925    1.0259282e-05    0.010259282     
 1          2          0.78543304       1          1          1          2          6          0.52631495       9.9998443        0.44999912       0.00099999096    1.0248126e-05    0.010248126     
 1          2          0.78543304       1          1          1          2          7          0.52631568       9.9999805        0.44999989       0.00099999887    1.0237071e-05    0.010237071     
 1          2          0.78543304       1          1          1          2          8          0.52631578       9.9999976        0.44999999       0.00099999986    1.022605e-05     0.01022605      
 1          2          0.78543304       1          1          1          2          9          0.52631579       9.9999997        0.45             0.00099999998    1.0215055e-05    0.010215055     
 1          2          0.78543304       1          1          1          2          10         0.52631579       9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          11         0.52631579       9.9999997        0.45             0.00099999998    1.0193134e-05    0.010193134     
 1          2          0.78543304       1          1          1          2          12         0.52631578       9.9999974        0.44999999       0.00099999985    1.0182209e-05    0.010182209     
 1          2          0.78543304       1          1          1          2          13         0.52631568       9.9999791        0.44999988       0.00099999879    1.0171309e-05    0.010171309     
 1          2          0.78543304       1          1          1          2          14         0.5263149        9.999834         0.44999907       0.00099999044    1.0160442e-05    0.010160442     
