 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          1          0.38313807       1          1          1          2          1          0.052598649      0.93760881       0.44965566       2.4911452e-06    1.0034584e-05    0.010034584     
 1          1          0.38313807       1          1          1          2          2          0.052630517      0.99798837       0.4499889        2.4997142e-06    1.0028664e-05    0.010028664     
 1          1          0.38313807       1          1          1          2          3          0.052631545      0.99993504       0.44999964       2.4999908e-06    1.0027449e-05    0.010027449     
 1          1          0.38313807       1          1          1          2          4          0.052631578      0.9999979        0.44999999       2.4999997e-06    1.0026385e-05    0.010026385     
 1          1          0.38313807       1          1          1          2          5          0.052631579      0.99999993       0.45             2.5e-06          1.0025327e-05    0.010025327     
 1          1          0.38313807       1          1          1          2          6          0.052631579      1                0.45             2.5e-06          1.0024269e-05    0.010024269     
 1          1          0.38313807       1          1          1          2          7          0.052631579      1                0.45             2.5e-06          1.0023212e-05    0.010023212     
 1          1          0.38313807       1          1          1          2          8          0.052631579      1                0.45             2.5e-06          1.0022154e-05    0.010022154     
 1          1          0.38313807       1          1          1          2          9          0.052631579      1                0.45             2.5e-06          1.0021097e-05    0.010021097     
 1          1          0.38313807       1          1          1          2          10         0.052631579      1                0.45             2.5e-06          1.002004e-05     0.01002004      
 1          1          0.38313807       1          1          1          2          11         0.052631579      1                0.45             2.5e-06          1.0018983e-05    0.010018983     
 1          1          0.38313807       1          1          1          2          12         0.052631579      1                0.45             2.5e-06          1.0017927e-05    0.010017927     
 1          1          0.38313807       1          1          1          2          13         0.052631579      1                0.45             2.5e-06          1.0016871e-05    0.010016871     
 1          1          0.38313807       1          1          1          2          14         0.052631579      1                0.45             2.5e-06          1.0015814e-05    0.010015814     
 1          1          0.38313807       1          1          1          2          15         0.052631579      0.99999993       0.45             2.5e-06          1.0014759e-05    0.010014759     
 1          1          0.38313807       1          1          1          2          16         0.052631578      0.99999789       0.44999999       2.4999997e-06    1.0013703e-05    0.010013703     
 1          1          0.38313807       1          1          1          2          17         0.052631545      0.99993474       0.44999964       2.4999907e-06    1.0012653e-05    0.010012653     
 1          1          0.38313807       1          1          1          2          18         0.052630515      0.9979817        0.44998889       2.4997138e-06    1.0011754e-05    0.010011754     
 1          1          0.38313807       1          1          1          2          19         0.052598654      0.93750112       0.44965572       2.4911467e-06    1.0015551e-05    0.010015551     
 1          2          0.78543304       1          1          1          2          1          0.052567465      0.87851942       0.44932919       2.4827765e-06    1.0039346e-05    0.010039346     
 1          2          0.78543304       1          1          1          2          2          0.052628426      0.99402577       0.44996705       2.4991513e-06    1.0028983e-05    0.010028983     
 1          2          0.78543304       1          1          1          2          3          0.05263144       0.99973738       0.44999855       2.4999627e-06    1.0027465e-05    0.010027465     
 1          2          0.78543304       1          1          1          2          4          0.052631573      0.99998916       0.44999994       2.4999985e-06    1.0026386e-05    0.010026386     
 1          2          0.78543304       1          1          1          2          5          0.052631579      0.99999957       0.45             2.4999999e-06    1.0025327e-05    0.010025327     
 1          2          0.78543304       1          1          1          2          6          0.052631579      0.99999998       0.45             2.5e-06          1.0024269e-05    0.010024269     
 1          2          0.78543304       1          1          1          2          7          0.052631579      1                0.45             2.5e-06          1.0023212e-05    0.010023212     
 1          2          0.78543304       1          1          1          2          8          0.052631579      1                0.45             2.5e-06          1.0022154e-05    0.010022154     
 1          2          0.78543304       1          1          1          2          9          0.052631579      1                0.45             2.5e-06          1.0021097e-05    0.010021097     
 1          2          0.78543304       1          1          1          2          10         0.052631579      1                0.45             2.5e-06          1.002004e-05     0.01002004      
 1          2          0.78543304       1          1          1          2          11         0.052631579      1                0.45             2.5e-06          1.0018983e-05    0.010018983     
 1          2          0.78543304       1          1          1          2          12         0.052631579      1                0.45             2.5e-06          1.0017927e-05    0.010017927     
 1          2          0.78543304       1          1          1          2          13         0.052631579      1                0.45             2.5e-06          1.0016871e-05    0.010016871     
 1          2          0.78543304       1          1          1          2          14         0.052631579      0.99999998       0.45             2.5e-06          1.0015814e-05    0.010015814     
 1          2          0.78543304       1          1          1          2          15         0.052631579      0.99999957       0.45             2.4999999e-06    1.0014759e-05    0.010014759     
 1          2          0.78543304       1          1          1          2          16         0.052631573      0.9999891        0.44999994       2.4999985e-06    1.0013704e-05    0.010013704     
 1          2          0.78543304       1          1          1          2          17         0.05263144       0.99973618       0.44999855       2.4999626e-06    1.0012669e-05    0.010012669     
 1          2          0.78543304       1          1          1          2          18         0.052628421      0.99400656       0.449967         2.49915e-06      1.0012073e-05    0.010012073     
 1          2          0.78543304       1          1          1          2          19         0.052567481      0.87832025       0.44932936       2.4827809e-06    1.0020303e-05    0.010020303     
 1          3          1.2078428        1          1          1          2          1          0.052538028      0.8227341        0.44902065       2.4748913e-06    1.0043847e-05    0.010043847     
 1          3          1.2078428        1          1          1          2          2          0.052625344      0.98818767       0.44993484       2.4983222e-06    1.0029452e-05    0.010029452     
 1          3          1.2078428        1          1          1          2          3          0.052631229      0.99933752       0.44999635       2.4999059e-06    1.0027497e-05    0.010027497     
 1          3          1.2078428        1          1          1          2          4          0.052631561      0.99996646       0.44999982       2.4999952e-06    1.0026388e-05    0.010026388     
