 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  TOPOUT  BOTOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER
 1          1          0.38313807       1          0                0                0                0                0                6.8051329e-05    0                0                0                0                0                0                0                0                0                6.8051329e-05    0               
 1          2          0.78543304       1          0                0                0                0                0                0.00013481307    0                0                0                0                0                0                0                0                0                0.00013481307    0               
 1          3          1.2078428        1          0                0                0                0                0                0.00020028629    0                0                0                0                0                0                0                0                0                0.00020028629    0               
 1          4          1.651373         1          0                0                0                0                0                0.00026448425    0                0                0                0                0                0                0                0                0                0.00026448425    1.3552527e-20   
 1          5          2.1170797        1          0                0                0                0                0                0.00032743221    0                0                0                0                0                0                0                0                0                0.00032743221    2.7105054e-20   
 1          6          2.6060717        1          0                0                0                0                0                0.00038916707    0                0                0                0                0                0                0                0                0                0.00038916707    2.7105054e-20   
 1          7          3.1195134        1          0                0                0                0                0                0.00044973678    0                0                0                0                0                0                0                0                0                0.00044973678    2.7105054e-20   
 1          8          3.6586271        1          0                0                0                0                0                0.00050919967    0                0                0                0                0                0                0                0                0                0.00050919967    3.3881318e-20   
 1          9          4.2246966        1          0                0                0                0                0                0.00056762355    0                0                0                0                0                0                0                0                0                0.00056762355    4.0657581e-20   
 1          10         4.8190695        1          0                0                0                0                0                0.00062508478    0                0                0                0                0                0                0                0                0                0.00062508478    4.0657581e-20   
 1          11         5.443161         1          0                0                0                0                0                0.00068166709    0                0                0                0                0                0                0                0                0                0.00068166709    4.0657581e-20   
 1          12         6.0984571        1          0                0                0                0                0                0.00073746045    0                0                0                0                0                0                0                0                0                0.00073746045    4.0657581e-20   
 1          13         6.7865181        1          0                0                0                0                0                0.00079255983    0                0                0                0                0                0                0                0                0                0.00079255983    4.0657581e-20   
 1          14         7.508982         1          0                0                0                0                0                0.0008470639     0                0                0                0                0                0                0                0                0                0.0008470639     4.0657581e-20   
 1          15         8.2675692        1          0                0                0                0                0                0.00090107384    0                0                0                0                0                0                0                0                0                0.00090107384    4.0657581e-20   
 1          16         9.0640857        1          0                0                0                0                0                0.00095469206    0                0                0                0                0                0                0                0                0                0.00095469206    4.0657581e-20   
 1          17         9.9004281        1          0                0                0                0                0                0.0010080212     0                0                0                0                0                0                0                0                0                0.0010080212     4.0657581e-20   
 1          18         10.778588        1          0                0                0                0                0                0.0010611628     0                0                0                0                0                0                0                0                0                0.0010611628     3.3881318e-20   
 1          19         11.700655        1          0                0                0                0                0                0.0011142168     0                0                0                0                0                0                0                0                0                0.0011142168     3.3881318e-20   
 1          20         12.668826        1          0                0                0                0                0                0.0011672806     0                0                0                0                0                0                0                0                0                0.0011672806     3.3881318e-20   
 1          21         13.685405        1          0                0                0                0                0                0.0012204482     0                0                0                0                0                0                0                0                0                0.0012204482     3.3881318e-20   
 1          22         14.752814        1          0                0                0                0                0                0.00127381       0                0                0                0                0                0                0                0                0                0.00127381       3.3881318e-20   
 1          23         15.873592        1          0                0                0                0                0                0.0013274527     0                0                0                0                0                0                0                0                0                0.0013274527     2.7105054e-20   
 1          24         17.05041         1          0                0                0                0                0                0.0013814586     0                0                0                0                0                0                0                0                0                0.0013814586     2.0328791e-20   
 1          25         18.286069        1          0                0                0                0                0                0.0014359058     0                0                0                0                0                0                0                0                0                0.0014359058     2.0328791e-20   
 1          26         19.58351         1          0                0                0                0                0                0.0014908684     0                0                0                0                0                0                0                0                0                0.0014908684     2.0328791e-20   
 1          27         20.945824        1          0                0                0                0                0                0.0015464167     0                0                0                0                0                0                0                0                0                0.0015464167     2.0328791e-20   
 1          28         22.376253        1          0                0                0                0                0                0.0016026172     0                0                0                0                0                0                0                0                0                0.0016026172     2.0328791e-20   
 1          29         23.878204        1          0                0                0                0                0                0.001659533      0                0                0                0                0                0                0                0                0                0.001659533      2.0328791e-20   
 1          30         25.455252        1          0                0                0                0                0                0.0017172243     0                0                0                0                0                0                0                0                0                0.0017172243     2.0328791e-20   
 1          31         27.111152        1          0                0                0                0                0                0.0017757484     0                0                0                0                0                0                0                0                0                0.0017757484     2.0328791e-20   
 1          32         28.849848        1          0                0                0                0                0                0.0018351607     0                0                0                0                0                0                0                0                0                0.0018351607     2.0328791e-20   
 1          33         30.675479        1          0                0                0                0                0                0.0018955143     0                0                0                0                0                0                0                0                0                0.0018955143     3.3881318e-20   
 1          34         32.592391        1          0                0                0                0                0                0.0019568608     0                0                0                0                0                0                0                0                0                0.0019568608     3.3881318e-20   
 1          35         34.605148        1          0                0                0                0                0                0.0020192504     0                0                0                0                0                0                0                0                0                0.0020192504     3.3881318e-20   
 1          36         36.718544        1          0                0                0                0                0                0.0020827323     0                0                0                0                0                0                0                0                0                0.0020827323     4.7433845e-20   
 1          37         38.937609        1          0                0                0                0                0                0.002147355      0                0                0                0                0                0                0                0                0                0.002147355      4.7433845e-20   
 1          38         41.267627        1          0                0                0                0                0                0.0022131664     0                0                0                0                0                0                0                0                0                0.0022131664     4.7433845e-20   
 1          39         43.714147        1          0                0                0                0                0                0.0022802139     0                0                0                0                0                0                0                0                0                0.0022802139     4.7433845e-20   
 1          40         46.282992        1          0                0                0                0                0                0.0023485449     0                0                0                0                0                0                0                0                0                0.0023485449     4.7433845e-20   
 1          41         48.98028         1          0                0                0                0                0                0.0024182066     0                0                0                0                0                0                0                0                0                0.0024182066     3.3881318e-20   
 1          42         51.812432        1          0                0                0                0                0                0.0024892464     0                0                0                0                0                0                0                0                0                0.0024892464     3.3881318e-20   
 1          43         54.786192        1          0                0                0                0                0                0.0025617119     0                0                0                0                0                0                0                0                0                0.0025617119     3.3881318e-20   
 1          44         57.908639        1          0                0                0                0                0                0.002635651      0                0                0                0                0                0                0                0                0                0.002635651      3.3881318e-20   
 1          45         61.187209        1          0                0                0                0                0                0.0027111118     0                0                0                0                0                0                0                0                0                0.0027111118     3.3881318e-20   
 1          46         64.629708        1          0                0                0                0                0                0.0027881432     0                0                0                0                0                0                0                0                0                0.0027881432     3.3881318e-20   
 1          47         68.244331        1          0                0                0                0                0                0.0028667943     0                0                0                0                0                0                0                0                0                0.0028667943     3.3881318e-20   
 1          48         72.039686        1          0                0                0                0                0                0.002947115      0                0                0                0                0                0                0                0                0                0.002947115      2.0328791e-20   
 1          49         76.024808        1          0                0                0                0                0                0.0030291557     0                0                0                0                0                0                0                0                0                0.0030291557     6.7762636e-21   
 1          50         80.209187        1          0                0                0                0                0                0.0031129672     0                0                0                0                0                0                0                0                0                0.0031129672     2.0328791e-20   
 1          51         84.602784        1          0                0                0                0                0                0.0031986012     0                0                0                0                0                0                0                0                0                0.0031986012     2.0328791e-20   
 1          52         89.216062        1          0                0                0                0                0                0.0032861097     0                0                0                0                0                0                0                0                0                0.0032861097     2.0328791e-20   
 1          53         94.060003        1          0                0                0                0                0                0.0033755451     0                0                0                0                0                0                0                0                0                0.0033755451     2.0328791e-20   
 1          54         99.146141        1          0                0                0                0                0                0.0034669601     0                0                0                0                0                0                0                0                0                0.0034669601     3.3881318e-20   
 1          55         104.48659        1          0                0                0                0                0                0.0035604075     0                0                0                0                0                0                0                0                0                0.0035604075     4.7433845e-20   
 1          56         110.09405        1          0                0                0                0                0                0.0036559397     0                0                0                0                0                0                0                0                0                0.0036559397     2.0328791e-20   
 1          57         115.98189        1          0                0                0                0                0                0.0037536086     0                0                0                0                0                0                0                0                0                0.0037536086     6.7762636e-21   
 1          58         122.16413        1          0                0                0                0                0                0.0038534649     0                0                0                0                0                0                0                0                0                0.0038534649     6.7762636e-21   
 1          59         128.65547        1          0                0                0                0                0                0.0039555576     0                0                0                0                0                0                0                0                0                0.0039555576     6.7762636e-21   
 1          60         135.47138        1          0                0                0                0                0                0.0040599334     0                0                0                0                0                0                0                0                0                0.0040599334     6.7762636e-21   
 1          61         142.62809        1          0                0                0                0                0                0.0041666356     0                0                0                0                0                0                0                0                0                0.0041666356     6.7762636e-21   
 1          62         150.14263        1          0                0                0                0                0                0.0042757033     0                0                0                0                0                0                0                0                0                0.0042757033     6.7762636e-21   
 1          63         158.0329         1          0                0                0                0                0                0.0043871702     0                0                0                0                0                0                0                0                0                0.0043871702     2.0328791e-20   
 1          64         166.31769        1          0                0                0                0                0                0.0045010635     0                0                0                0                0                0                0                0                0                0.0045010635     2.0328791e-20   
 1          65         175.01671        1          0                0                0                0                0                0.0046174025     0                0                0                0                0                0                0                0                0                0.0046174025     6.7762636e-21   
 1          66         184.15068        1          0                0                0                0                0                0.0047361968     0                0                0                0                0                0                0                0                0                0.0047361968     6.7762636e-21   
 1          67         193.74135        1          0                0                0                0                0                0.0048574456     0                0                0                0                0                0                0                0                0                0.0048574456     -2.0328791e-20  
 1          68         203.81156        1          0                0                0                0                0                0.0049811351     0                0                0                0                0                0                0                0                0                0.0049811351     -2.0328791e-20  
 1          69         214.38528        1          0                0                0                0                0                0.0051072379     0                0                0                0                0                0                0                0                0                0.0051072379     -2.0328791e-20  
 1          70         225.48768        1          0                0                0                0                0                0.0052357107     0                0                0                0                0                0                0                0                0                0.0052357107     -2.0328791e-20  
 1          71         237.1452         1          0                0                0                0                0                0.0053664932     0                0                0                0                0                0                0                0                0                0.0053664932     -2.0328791e-20  
 1          72         249.3856         1          0                0                0                0                0                0.0054995067     0                0                0                0                0                0                0                0                0                0.0054995067     -2.0328791e-20  
 1          73         262.23802        1          0                0                0                0                0                0.0056346527     0                0                0                0                0                0                0                0                0                0.0056346527     -2.0328791e-20  
 1          74         275.73305        1          0                0                0                0                0                0.0057718118     0                0                0                0                0                0                0                0                0                0.0057718118     -2.0328791e-20  
 1          75         289.90284        1          0                0                0                0                0                0.0059108428     0                0                0                0                0                0                0                0                0                0.0059108428     -2.0328791e-20  
 1          76         304.78113        1          0                0                0                0                0                0.0060515824     0                0                0                0                0                0                0                0                0                0.0060515824     6.7762636e-21   
 1          77         320.40332        1          0                0                0                0                0                0.0061938443     0                0                0                0                0                0                0                0                0                0.0061938443     6.7762636e-21   
 1          78         336.80662        1          0                0                0                0                0                0.0063374193     0                0                0                0                0                0                0                0                0                0.0063374193     3.3881318e-20   
 1          79         354.03009        1          0                0                0                0                0                0.0064820757     0                0                0                0                0                0                0                0                0                0.0064820757     3.3881318e-20   
 1          80         372.11474        1          0                0                0                0                0                0.0066275593     0                0                0                0                0                0                0                0                0                0.0066275593     3.3881318e-20   
 1          81         391.10361        1          0                0                0                0                0                0.0067735944     0                0                0                0                0                0                0                0                0                0.0067735944     3.3881318e-20   
 1          82         411.04193        1          0                0                0                0                0                0.0069198853     0                0                0                0                0                0                0                0                0                0.0069198853     3.3881318e-20   
 1          83         431.97716        1          0                0                0                0                0                0.0070661169     0                0                0                0                0                0                0                0                0                0.0070661169     3.3881318e-20   
 1          84         453.95916        1          0                0                0                0                0                0.0072119573     0                0                0                0                0                0                0                0                0                0.0072119573     3.3881318e-20   
 1          85         477.04026        1          0                0                0                0                0                0.0073570594     0                0                0                0                0                0                0                0                0                0.0073570594     3.3881318e-20   
 1          86         501.27541        1          0                0                0                0                0                0.0075010633     0                0                0                0                0                0                0                0                0                0.0075010633     3.3881318e-20   
