time,H1_1_2
0.3831380695111,0.1668418331E-10
0.7854330424977,0.1626314926E-10
1.207842764134,0.1583759490E-10
1.651372971851,0.1540827347E-10
2.117079689955,0.1497599187E-10
2.606071743964,0.1454160740E-10
3.119513400673,0.1410602339E-10
3.658627140218,0.1367018394E-10
4.224696566740,0.1323506750E-10
4.819069464588,0.1280167945E-10
5.443161007328,0.1237104367E-10
6.098457127206,0.1194419312E-10
6.786518053077,0.1152215966E-10
7.508982025242,0.1110596310E-10
8.267569196015,0.1069659973E-10
9.064085725327,0.1029503064E-10
9.900428081105,0.9902169826E-11
10.77858755467,0.9518872640E-11
11.70065500192,0.9145924691E-11
12.66882582152,0.8784031568E-11
13.68540518211,0.8433809692E-11
14.75281351073,0.8095778584E-11
15.87359225577,0.7770354804E-11
17.05040993807,0.7457847809E-11
18.28606850449,0.7158457880E-11
19.58350999922,0.6872276240E-11
20.94582356870,0.6599287391E-11
22.37625281664,0.6339373619E-11
23.87820352698,0.6092321553E-11
25.45525177285,0.5857830549E-11
27.11115243100,0.5635522638E-11
28.84984812206,0.5424953691E-11
30.67547859767,0.5225625417E-11
32.59239059707,0.5036997784E-11
34.60514819643,0.4858501454E-11
36.71854367577,0.4689549828E-11
38.93760892907,0.4529550340E-11
41.26762744503,0.4377914688E-11
43.71414688679,0.4234067770E-11
46.28299230064,0.4097455146E-11
48.98027998519,0.3967548956E-11
51.81243205396,0.3843852270E-11
54.78619172617,0.3725901952E-11
57.90863938198,0.3613270148E-11
61.18720942059,0.3505564581E-11
64.62970796114,0.3402427841E-11
68.24433142870,0.3303535895E-11
72.03968606965,0.3208596030E-11
76.02480844264,0.3117344422E-11
80.20918693429,0.3029543512E-11
84.60278435051,0.2944979338E-11
89.21606163755,0.2863458937E-11
94.06000278894,0.2784807891E-11
99.14614099789,0.2708868085E-11
104.4865861173,0.2635495692E-11
110.0940534927,0.2564559395E-11
115.9818942368,0.2495938843E-11
122.1641270182,0.2429523317E-11
128.6554714386,0.2365210590E-11
135.4713830800,0.2302905943E-11
142.6280903035,0.2242521327E-11
150.1426328882,0.2183974637E-11
158.0329026022,0.2127189069E-11
166.3176858018,0.2072092558E-11
175.0167081614,0.2018617260E-11
184.1506816390,0.1966699073E-11
193.7413537904,0.1916277179E-11
203.8115595494,0.1867293593E-11
214.3852755964,0.1819692712E-11
225.4876774458,0.1773420844E-11
237.1451993876,0.1728425728E-11
249.3855974265,0.1684656024E-11
262.2380153673,0.1642060782E-11
275.7330542052,0.1600588904E-11
289.9028449849,0.1560188584E-11
304.7811253037,0.1520806773E-11
320.4033196384,0.1482388674E-11
336.8066236898,0.1444877288E-11
354.0300929438,0.1408213056E-11
372.1147356605,0.1372333621E-11
391.1036105131,0.1337173729E-11
411.0419291082,0.1302665320E-11
431.9771636331,0.1268737800E-11
453.9591598843,0.1235318526E-11
477.0402559480,0.1202333504E-11
501.2754068149,0.1169708272E-11
526.7223152252,0.1137368972E-11
553.4415690560,0.1105243553E-11
581.4967855783,0.1073263086E-11
610.9547629267,0.1041363122E-11
641.8856391426,0.1009485051E-11
674.3630591692,0.9775774052E-12
