time,TCOMP,SK,QTOP,QBOT,H0001,H0002,H0003,H0004,H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0015,H0016,H0017,H0018,H0019,EST,ESB,PST,PSB,GS,ES
6.786518053077,0.8013723063E-03,0.1001843815E-01,-0.4067318387E-04,-0.4063026311E-04,0.4281387776,0.8485548400,0.9694841422,0.9949403950,0.9992757907,0.9999076282,0.9999892655,0.9999988448,0.9999998825,0.9999999777,0.9999998816,0.9999988362,0.9999891905,0.9999070418,0.9992717873,0.9949174471,0.9693808259,0.8482352334,0.4276869801,998.6244928,999.5723130,998.5974757,999.5453089,2000.000000,1000.000000
7.508982025242,0.8567118009E-03,0.1001832732E-01,-0.3831984524E-04,-0.3827843059E-04,0.4033667920,0.8295081790,0.9628010476,0.9933225741,0.9989666663,0.9998577611,0.9999821952,0.9999979398,0.9999997747,0.9999999542,0.9999997731,0.9999979248,0.9999820730,0.9998568767,0.9989610883,0.9932931288,0.9626794177,0.8291648146,0.4029308484,998.6492648,999.5970692,998.6244928,999.5723130,2000.000000,1000.000000
8.267569196015,0.9115497003E-03,0.1001821750E-01,-0.3616461740E-04,-0.3612489847E-04,0.3806801832,0.8101005385,0.9553427200,0.9913553670,0.9985586120,0.9997865185,0.9999712919,0.9999964370,0.9999995822,0.9999999093,0.9999995792,0.9999964114,0.9999710987,0.9997852195,0.9985510215,0.9913183440,0.9552018728,0.8097360278,0.3802620892,998.6719514,999.6197379,998.6492648,999.5970692,2000.000000,1000.000000
9.064085725327,0.9659889250E-03,0.1001810847E-01,-0.3419226923E-04,-0.3415436601E-04,0.3599186235,0.7904597333,0.9471141908,0.9889997067,0.9980299202,0.9996869097,0.9999548795,0.9999940065,0.9999992477,0.9999998259,0.9999992423,0.9999939642,0.9999545819,0.9996850469,0.9980198088,0.9889539999,0.9469534868,0.7900768511,0.3595196422,998.6927130,999.6404804,998.6719514,999.6197379,2000.000000,1000.000000
9.900428081105,0.1020133285E-02,0.1001800004E-01,-0.3238774781E-04,-0.3235172108E-04,0.3409236612,0.7707044028,0.9381301226,0.9862180285,0.9973564858,0.9995503571,0.9999307140,0.9999901697,0.9999986815,0.9999996755,0.9999986722,0.9999901017,0.9999302665,0.9995477436,0.9973432753,0.9861625317,0.9379492008,0.7703060029,0.3405444324,998.7117079,999.6594556,998.6927130,999.6404804,2000.000000,1000.000000
10.77858755467,0.1074086207E-02,0.1001789198E-01,-0.3073638851E-04,-0.3070225009E-04,0.3235409317,0.7509428641,0.9284142535,0.9829751576,0.9965120028,0.9993665224,0.9998958495,0.9999842469,0.9999977456,0.9999994108,0.9999977301,0.9999841399,0.9998951913,0.9993629288,0.9964950481,0.9829087910,0.9282130356,0.7505318026,0.3231815799,998.7290906,999.6768184,998.7117079,999.6594556,2000.000000,1000.000000
11.70065500192,0.1127949620E-02,0.1001778411E-01,-0.2922409548E-04,-0.2919181806E-04,0.3076220576,0.7312723021,0.9179986219,0.9792391604,0.9954682554,0.9991231574,0.9998464893,0.9999752910,0.9999962327,0.9999989564,0.9999962075,0.9999751267,0.9998455408,0.9991183071,0.9954468503,0.9791608985,0.9177773083,0.7308513700,0.3072822953,998.7450095,999.6927177,998.7290906,999.6768184,2000.000000,1000.000000
12.66882582152,0.1181823006E-02,0.1001767622E-01,-0.2783748941E-04,-0.2780701569E-04,0.2930262043,0.7117782985,0.9069226055,0.9749821283,0.9941955017,0.9988059902,0.9997778256,0.9999620081,0.9999938373,0.9999981932,0.9999937970,0.9999617609,0.9997764848,0.9987995560,0.9941688876,0.9748910263,0.9066816623,0.7113501649,0.2927054283,998.7596054,999.7072946,998.7450095,999.6927177,2000.000000,1000.000000
13.68540518211,0.1235802651E-02,0.1001756811E-01,-0.2656402119E-04,-0.2653527212E-04,0.2796212757,0.6925346891,0.8952318145,0.9701808598,0.9926629436,0.9983986603,0.9996838730,0.9999426619,0.9999901171,0.9999969383,0.9999900541,0.9999422971,0.9996820112,0.9983902620,0.9926303208,0.9700760786,0.8949719533,0.6921018569,0.2793186539,998.7730103,999.7206813,998.7596054,999.7072946,2000.000000,1000.000000
14.75281351073,0.1289981079E-02,0.1001745960E-01,-0.2539205124E-04,-0.2536493327E-04,0.2672847499,0.6736037260,0.8829768857,0.9648174176,0.9908392700,0.9978827098,0.9995573019,0.9999149621,0.9999844443,0.9999949156,0.9999843479,0.9999144334,0.9995547597,0.9978719132,0.9907998117,0.9646982458,0.8826990373,0.6731684980,0.2669992976,998.7853468,999.7330007,998.7730103,999.7206813,2000.000000,1000.000000
