 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          45               0.012128315      455              455              3.9037545e-08   
 1          2          0.78543304       1          1          1          2          45               0.023925446      455              455              3.7063958e-08   
 1          3          1.2078428        1          1          1          2          45               0.035410239      455              455              3.5267293e-08   
 1          4          1.651373         1          1          1          2          45               0.046600657      455              455              3.3605967e-08   
 1          5          2.1170797        1          1          1          2          45               0.057513815      455              455              3.2032924e-08   
 1          6          2.6060717        1          1          1          2          45               0.068166001      455              455              3.0568135e-08   
 1          7          3.1195134        1          1          1          2          45               0.078572708      455              455              2.9205157e-08   
 1          8          3.6586271        1          1          1          2          45               0.088748668      455              455              2.7933271e-08   
 1          9          4.2246966        1          1          1          2          45               0.098707884      455              455              2.6745415e-08   
 1          10         4.8190695        1          1          1          2          45               0.10846367       455              455              2.5638244e-08   
 1          11         5.443161         1          1          1          2          45               0.11802867       455              455              2.4601329e-08   
 1          12         6.0984571        1          1          1          2          45               0.12741491       455              455              2.3635497e-08   
 1          13         6.7865181        1          1          1          2          45               0.13663383       455              455              2.2730628e-08   
 1          14         7.508982         1          1          1          2          45               0.14569631       455              455              2.1882169e-08   
 1          15         8.2675692        1          1          1          2          45               0.15461271       455              455              2.1088447e-08   
 1          16         9.0640857        1          1          1          2          45               0.1633929        455              455              2.0344379e-08   
 1          17         9.9004281        1          1          1          2          45               0.17204631       455              455              1.9646634e-08   
 1          18         10.778588        1          1          1          2          45               0.18058193       455              455              1.8990226e-08   
 1          19         11.700655        1          1          1          2          45               0.18900835       455              455              1.8373372e-08   
 1          20         12.668826        1          1          1          2          45               0.19733382       455              455              1.7792206e-08   
 1          21         13.685405        1          1          1          2          45               0.20556623       455              455              1.7243648e-08   
 1          22         14.752814        1          1          1          2          45               0.21371317       455              455              1.6725496e-08   
 1          23         15.873592        1          1          1          2          44.999999        0.22178195       455              455              1.6236318e-08   
 1          24         17.05041         1          1          1          2          44.999999        0.22977963       455              455              1.5773546e-08   
 1          25         18.286069        1          1          1          2          44.999998        0.23771302       455              455              1.5335476e-08   
 1          26         19.58351         1          1          1          2          44.999997        0.24558873       455              455              1.491912e-08    
 1          27         20.945824        1          1          1          2          44.999996        0.25341317       455              455              1.4523407e-08   
 1          28         22.376253        1          1          1          2          44.999994        0.26119261       455.00001        455.00001        1.4147785e-08   
 1          29         23.878204        1          1          1          2          44.99999         0.26893315       455.00001        455.00001        1.3790333e-08   
 1          30         25.455252        1          1          1          2          44.999985        0.27664077       455.00001        455.00001        1.3449267e-08   
 1          31         27.111152        1          1          1          2          44.999978        0.28432135       455.00002        455.00002        1.3122872e-08   
 1          32         28.849848        1          1          1          2          44.999967        0.29198067       455.00003        455.00003        1.2810094e-08   
 1          33         30.675479        1          1          1          2          44.999951        0.29962444       455.00005        455.00005        1.2511352e-08   
 1          34         32.592391        1          1          1          2          44.999928        0.30725834       455.00007        455.00007        1.2226087e-08   
 1          35         34.605148        1          1          1          2          44.999895        0.31488798       455.0001         455.0001         1.1951898e-08   
 1          36         36.718544        1          1          1          2          44.999849        0.32251897       455.00015        455.00015        1.1688136e-08   
 1          37         38.937609        1          1          1          2          44.999785        0.3301569        455.00021        455.00021        1.143484e-08    
 1          38         41.267627        1          1          1          2          44.999696        0.33780739       455.0003         455.0003         1.1191111e-08   
 1          39         43.714147        1          1          1          2          44.999574        0.34547606       455.00043        455.00043        1.0956234e-08   
 1          40         46.282992        1          1          1          2          44.999408        0.35316859       455.00059        455.00059        3.6016911e-08   
 1          41         48.98028         1          1          1          2          44.999185        0.3608907        455.00082        455.00082        5.8496333e-08   
 1          42         51.812432        1          1          1          2          44.998885        0.36864819       455.00111        455.00111        7.8658919e-08   
 1          43         54.786192        1          1          1          2          44.998488        0.37644694       455.00151        455.00151        9.6737428e-08   
 1          44         57.908639        1          1          1          2          44.997966        0.38429291       455.00203        455.00203        1.1293958e-07   
 1          45         61.187209        1          1          1          2          44.997284        0.39219217       455.00272        455.00272        1.2745106e-07   
 1          46         64.629708        1          1          1          2          44.996402        0.40015094       455.0036         455.0036         1.4043522e-07   
 1          47         68.244331        1          1          1          2          44.995269        0.40817554       455.00473        455.00473        1.5203981e-07   
 1          48         72.039686        1          1          1          2          44.993826        0.41627245       455.00617        455.00617        1.6239648e-07   
