 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          3          1.2078428        1          1          1          2          17         0.5263064        44.998363        0.44999019       9.998989e-05     1.0900902e-05    0.010900902     
 1          3          1.2078428        1          1          1          2          18         0.52588827       44.925389        0.44955288       9.9540304e-05    1.0895339e-05    0.010895339     
 1          3          1.2078428        1          1          1          2          19         0.5090549        41.971324        0.43135076       8.2393052e-05    1.1171187e-05    0.011171187     
 1          4          1.651373         1          1          1          2          1          0.50371606       41.11227         0.42532369       7.7339256e-05    1.1503208e-05    0.011503208     
 1          4          1.651373         1          1          1          2          2          0.52562289       44.881285        0.44927496       9.925556e-05     1.1103341e-05    0.011103341     
 1          4          1.651373         1          1          1          2          3          0.5262973        44.996828        0.44998067       9.9980089e-05    1.1079029e-05    0.011079029     
 1          4          1.651373         1          1          1          2          4          0.52631536       44.999926        0.44999955       9.9999537e-05    1.106582e-05     0.01106582      
 1          4          1.651373         1          1          1          2          5          0.52631578       44.999998        0.44999999       9.999999e-05     1.1052938e-05    0.011052938     
 1          4          1.651373         1          1          1          2          6          0.52631579       45               0.45             0.0001           1.1040093e-05    0.011040093     
 1          4          1.651373         1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027278e-05    0.011027278     
 1          4          1.651373         1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014493e-05    0.011014493     
 1          4          1.651373         1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001737e-05    0.011001737     
 1          4          1.651373         1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989011e-05    0.010989011     
 1          4          1.651373         1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          4          1.651373         1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963647e-05    0.010963647     
 1          4          1.651373         1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          4          1.651373         1          1          1          2          14         0.52631579       45               0.45             0.0001           1.09384e-05      0.0109384       
 1          4          1.651373         1          1          1          2          15         0.52631578       44.999998        0.44999999       9.999999e-05     1.092582e-05     0.01092582      
 1          4          1.651373         1          1          1          2          16         0.52631534       44.999921        0.44999953       9.9999512e-05    1.0913276e-05    0.010913276     
 1          4          1.651373         1          1          1          2          17         0.52629661       44.996656        0.44997995       9.9979347e-05    1.0901064e-05    0.010901064     
