 IPER  ISTEP  TLEN  STAIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER  RBER
 1          1          0.38313807       0                0                0                0.012128315      0                0                0                0                0                0                0                0.012128315      0                0               
 1          2          0.78543304       0                0                0                0.023925446      0                0                0                0                0                0                0                0.023925446      0                0               
 1          3          1.2078428        0                0                0                0.035410239      0                0                0                0                0                0                0                0.035410239      0                0               
 1          4          1.651373         0                0                0                0.046600657      0                0                0                0                0                0                0                0.046600657      0                0               
 1          5          2.1170797        0                0                0                0.057513815      0                0                0                0                0                0                0                0.057513815      0                0               
 1          6          2.6060717        0                0                0                0.068166001      0                0                0                0                0                0                0                0.068166001      0                0               
 1          7          3.1195134        0                0                0                0.078572708      0                0                0                0                0                0                0                0.078572708      0                0               
 1          8          3.6586271        0                0                0                0.088748668      0                0                0                0                0                0                0                0.088748668      -1.7347235e-18   0               
 1          9          4.2246966        0                0                0                0.098707884      0                0                0                0                0                0                0                0.098707884      -1.7347235e-18   0               
 1          10         4.8190695        0                0                0                0.10846367       0                0                0                0                0                0                0                0.10846367       -1.7347235e-18   0               
 1          11         5.443161         0                0                0                0.11802867       0                0                0                0                0                0                0                0.11802867       -1.7347235e-18   0               
 1          12         6.0984571        0                0                0                0.12741491       0                0                0                0                0                0                0                0.12741491       0                0               
 1          13         6.7865181        0                0                0                0.13663383       0                0                0                0                0                0                0                0.13663383       0                0               
 1          14         7.508982         0                0                0                0.14569631       0                0                0                0                0                0                0                0.14569631       0                0               
 1          15         8.2675692        0                0                0                0.15461271       0                0                0                0                0                0                0                0.15461271       1.7347235e-18    0               
 1          16         9.0640857        0                0                0                0.1633929        0                0                0                0                0                0                0                0.1633929        1.7347235e-18    0               
 1          17         9.9004281        0                0                0                0.17204631       0                0                0                0                0                0                0                0.17204631       1.7347235e-18    0               
 1          18         10.778588        0                0                0                0.18058193       0                0                0                0                0                0                0                0.18058193       1.7347235e-18    0               
 1          19         11.700655        0                0                0                0.18900835       0                0                0                0                0                0                0                0.18900835       1.7347235e-18    0               
 1          20         12.668826        0                0                0                0.19733382       0                0                0                0                0                0                0                0.19733382       1.7347235e-18    0               
 1          21         13.685405        0                0                0                0.20556623       0                0                0                0                0                0                0                0.20556623       1.7347235e-18    0               
 1          22         14.752814        0                0                0                0.21371317       0                0                0                0                0                0                0                0.21371317       1.7347235e-18    0               
 1          23         15.873592        0                0                0                0.22178195       0                0                0                0                0                0                0                0.22178195       1.7347235e-18    0               
 1          24         17.05041         0                0                0                0.22977963       0                0                0                0                0                0                0                0.22977963       1.7347235e-18    0               
 1          25         18.286069        0                0                0                0.23771302       0                0                0                0                0                0                0                0.23771302       1.7347235e-18    0               
 1          26         19.58351         0                0                0                0.24558873       0                0                0                0                0                0                0                0.24558873       1.7347235e-18    0               
 1          27         20.945824        0                0                0                0.25341317       0                0                0                0                0                0                0                0.25341317       1.7347235e-18    0               
 1          28         22.376253        0                0                0                0.26119261       0                0                0                0                0                0                0                0.26119261       1.7347235e-18    0               
 1          29         23.878204        0                0                0                0.26893315       0                0                0                0                0                0                0                0.26893315       1.7347235e-18    0               
 1          30         25.455252        0                0                0                0.27664077       0                0                0                0                0                0                0                0.27664077       3.469447e-18     0               
 1          31         27.111152        0                0                0                0.28432135       0                0                0                0                0                0                0                0.28432135       3.469447e-18     0               
 1          32         28.849848        0                0                0                0.29198067       0                0                0                0                0                0                0                0.29198067       3.469447e-18     0               
 1          33         30.675479        0                0                0                0.29962444       0                0                0                0                0                0                0                0.29962444       3.469447e-18     0               
 1          34         32.592391        0                0                0                0.30725834       0                0                0                0                0                0                0                0.30725834       3.469447e-18     0               
 1          35         34.605148        0                0                0                0.31488798       0                0                0                0                0                0                0                0.31488798       4.3368087e-18    0               
 1          36         36.718544        0                0                0                0.32251897       0                0                0                0                0                0                0                0.32251897       4.3368087e-18    0               
 1          37         38.937609        0                0                0                0.3301569        0                0                0                0                0                0                0                0.3301569        4.3368087e-18    0               
 1          38         41.267627        0                0                0                0.33780739       0                0                0                0                0                0                0                0.33780739       4.3368087e-18    0               
 1          39         43.714147        0                0                0                0.34547606       0                0                0                0                0                0                0                0.34547606       3.469447e-18     0               
 1          40         46.282992        0                0                0                0.35316859       0                0                0                0                0                0                0                0.35316859       3.469447e-18     0               
 1          41         48.98028         0                0                0                0.3608907        0                0                0                0                0                0                0                0.3608907        3.469447e-18     0               
 1          42         51.812432        0                0                0                0.36864819       0                0                0                0                0                0                0                0.36864819       3.469447e-18     0               
 1          43         54.786192        0                0                0                0.37644694       0                0                0                0                0                0                0                0.37644694       3.469447e-18     0               
 1          44         57.908639        0                0                0                0.38429291       0                0                0                0                0                0                0                0.38429291       3.469447e-18     0               
 1          45         61.187209        0                0                0                0.39219217       0                0                0                0                0                0                0                0.39219217       3.469447e-18     0               
 1          46         64.629708        0                0                0                0.40015094       0                0                0                0                0                0                0                0.40015094       3.469447e-18     0               
 1          47         68.244331        0                0                0                0.40817554       0                0                0                0                0                0                0                0.40817554       3.469447e-18     0               
 1          48         72.039686        0                0                0                0.41627245       0                0                0                0                0                0                0                0.41627245       3.469447e-18     0               
 1          49         76.024808        0                0                0                0.4244483        0                0                0                0                0                0                0                0.4244483        3.469447e-18     0               
 1          50         80.209187        0                0                0                0.43270991       0                0                0                0                0                0                0                0.43270991       5.2041704e-18    0               
 1          51         84.602784        0                0                0                0.44106426       0                0                0                0                0                0                0                0.44106426       6.9388939e-18    0               
 1          52         89.216062        0                0                0                0.44951854       0                0                0                0                0                0                0                0.44951854       8.6736174e-18    0               
 1          53         94.060003        0                0                0                0.45808012       0                0                0                0                0                0                0                0.45808012       6.9388939e-18    0               
 1          54         99.146141        0                0                0                0.4667566        0                0                0                0                0                0                0                0.4667566        6.9388939e-18    0               
 1          55         104.48659        0                0                0                0.4755558        0                0                0                0                0                0                0                0.4755558        6.9388939e-18    0               
 1          56         110.09405        0                0                0                0.48448578       0                0                0                0                0                0                0                0.48448578       6.9388939e-18    0               
 1          57         115.98189        0                0                0                0.49355482       0                0                0                0                0                0                0                0.49355482       6.9388939e-18    0               
 1          58         122.16413        0                0                0                0.50277146       0                0                0                0                0                0                0                0.50277146       6.9388939e-18    0               
